saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel
S00026,15-06-2023 12:41,P1025,T-Shirts_025,T-Shirts,Maroon,XL,1,892.02,611.44,892.02,611.44,C20025,Priya_0025,Tiruchirappalli,10.7905,78.7047,SP134,Salesperson_34,Pending,in-store
S00027,24-01-2023 17:30,P1026,T-Shirts_026,T-Shirts,Pink,XXL,3,276.02,194.19,828.06,582.57,C20026,Lakshmi_0026,Tirunelveli,8.7139,77.7567,SP128,Salesperson_28,Cancelled,online
S00028,17-02-2024 18:31,P1027,Sportswear_027,Sportswear,Blue,S,1,2467,1659.35,2467,1659.35,C20027,Meena_0027,Coimbatore,11.0168,76.9558,SP121,Salesperson_21,Paid,online
S00029,12-03-2024 19:14,P1028,Jeans_028,Jeans,Black,XS,4,2047.22,1517.17,8188.88,6068.68,C20028,Diya_0028,Chennai,13.0827,80.2707,SP114,Salesperson_14,Paid,in-store
S00030,01-10-2024 14:48,P1029,Men's_029,Men's Shirts,Yellow,XS,1,546.65,411.33,546.65,411.33,C20029,Anu_0029,Tiruchirappalli,10.7905,78.7047,SP117,Salesperson_17,Shipped,in-store
S00031,28-03-2024 20:19,P1030,Jeans_030,Jeans,Maroon,S,2,238.15,179.48,476.3,358.96,C20030,Devi_0030,Vellore,12.9165,79.1325,SP115,Salesperson_15,Shipped,online
S00032,28-05-2023 17:10,P1031,Kurta_031,Kurta,Black,XS,1,1114.42,841.75,1114.42,841.75,C20031,Diya_0031,Erode,11.34,77.7172,SP122,Salesperson_22,Shipped,online
S00033,28-06-2024 18:44,P1032,Kurta_032,Kurta,Grey,XXL,1,2326.8,2008.5,2326.8,2008.5,C20032,Aarav_0032,Coimbatore,11.0168,76.9558,SP103,Salesperson_3,Shipped,online
S00034,17-06-2023 17:49,P1033,Sarees_033,Sarees,Blue,S,1,1388.26,941.59,1388.26,941.59,C20033,Meena_0033,Tiruchirappalli,10.7905,78.7047,SP134,Salesperson_34,Shipped,in-store
S00035,09-10-2024 21:33,P1034,Kid's_034,Kid's Wear,Pink,S,1,634.03,433.46,634.03,433.46,C20034,Vishal_0034,Vellore,12.9165,79.1325,SP115,Salesperson_15,Paid,in-store
S00036,31-03-2024 20:51,P1035,Sportswear_035,Sportswear,Maroon,XS,3,1993.71,1580.23,5981.13,4740.69,C20035,Aarav_0035,Chennai,13.0827,80.2707,SP105,Salesperson_5,Pending,in-store
S00037,24-02-2023 11:53,P1036,Kid's_036,Kid's Wear,Pink,L,2,1535.58,1092.85,3071.16,2185.7,C20036,Ravi_0036,Tiruchirappalli,10.7905,78.7047,SP125,Salesperson_25,Paid,mobile_app
S00038,03-09-2024 21:17,P1037,Kid's_037,Kid's Wear,Pink,XS,3,1462.09,1180.74,4386.27,3542.22,C20037,Priya_0037,Salem,11.6643,78.146,SP129,Salesperson_29,Returned,in-store
S00039,28-02-2024 12:42,P1038,Kurta_038,Kurta,Maroon,XXL,1,1335.96,873.25,1335.96,873.25,C20038,Devi_0038,Vellore,12.9165,79.1325,SP109,Salesperson_9,Pending,mobile_app
S00040,27-08-2023 18:43,P1039,T-Shirts_039,T-Shirts,Black,XS,1,1447.84,1089.71,1447.84,1089.71,C20039,Sathish_0039,Chennai,13.0827,80.2707,SP147,Salesperson_47,Returned,in-store
S00041,18-02-2024 13:35,P1040,Men's_040,Men's Shirts,Red,XL,3,1104.12,957.95,3312.36,2873.85,C20040,Ravi_0040,Madurai,9.9252,78.1198,SP103,Salesperson_3,Cancelled,in-store
S00042,15-02-2024 19:30,P1041,Women's_041,Women's Dresses,Green,XS,2,1738.53,1493.83,3477.06,2987.66,C20041,Sathish_0041,Coimbatore,11.0168,76.9558,SP143,Salesperson_43,Pending,online
S00043,30-05-2023 15:34,P1042,Kurta_042,Kurta,Blue,XL,1,300.29,269.77,300.29,269.77,C20042,Meena_0042,Chennai,13.0827,80.2707,SP139,Salesperson_39,Paid,in-store
S00044,02-11-2023 13:53,P1043,Kurta_043,Kurta,Maroon,M,2,235.55,206.93,471.1,413.86,C20043,Ganesh_0043,Salem,11.6643,78.146,SP113,Salesperson_13,Returned,online
S00045,06-10-2023 21:57,P1044,Jeans_044,Jeans,White,L,1,373.3,258.22,373.3,258.22,C20044,Kavin_0044,Salem,11.6643,78.146,SP129,Salesperson_29,Returned,mobile_app
S00046,05-05-2023 13:29,P1045,Women's_045,Women's Dresses,Red,L,1,1480.64,1304.22,1480.64,1304.22,C20045,Sathish_0045,Coimbatore,11.0168,76.9558,SP104,Salesperson_4,Cancelled,mobile_app
S00047,28-03-2024 16:05,P1046,Jeans_046,Jeans,Maroon,M,4,2477.12,1590.37,9908.48,6361.48,C20046,Kavin_0046,Tirunelveli,8.7139,77.7567,SP104,Salesperson_4,Pending,in-store
S00048,03-12-2023 20:44,P1047,Sarees_047,Sarees,White,S,1,514.23,417.9,514.23,417.9,C20047,Ravi_0047,Salem,11.6643,78.146,SP139,Salesperson_39,Cancelled,in-store
S00049,26-12-2023 13:25,P1048,Men's_048,Men's Shirts,Maroon,M,1,2194.27,1917.73,2194.27,1917.73,C20048,Ganesh_0048,Coimbatore,11.0168,76.9558,SP108,Salesperson_8,Returned,mobile_app
S00050,29-11-2023 16:47,P1049,Women's_049,Women's Dresses,Blue,XXL,1,363.16,261.12,363.16,261.12,C20049,Anu_0049,Madurai,9.9252,78.1198,SP117,Salesperson_17,Returned,mobile_app
S00051,02-02-2023 20:01,P1050,Jeans_050,Jeans,Yellow,S,1,416.16,321.89,416.16,321.89,C20050,Lakshmi_0050,Salem,11.6643,78.146,SP132,Salesperson_32,Shipped,in-store
S00052,24-01-2023 15:32,P1051,T-Shirts_051,T-Shirts,Red,XS,2,2129.55,1827.41,4259.1,3654.82,C20051,Lakshmi_0051,Erode,11.34,77.7172,SP117,Salesperson_17,Paid,mobile_app
S00053,12-06-2023 10:18,P1052,Men's_052,Men's Shirts,Yellow,S,1,492.24,372.46,492.24,372.46,C20052,Lakshmi_0052,Salem,11.6643,78.146,SP110,Salesperson_10,Shipped,online
S00054,15-05-2024 12:37,P1053,Kurta_053,Kurta,Maroon,XS,2,2136.65,1406.59,4273.3,2813.18,C20053,Diya_0053,Coimbatore,11.0168,76.9558,SP144,Salesperson_44,Pending,in-store
S00055,25-09-2023 18:08,P1054,Men's_054,Men's Shirts,Yellow,XL,2,2429.93,1978.88,4859.86,3957.76,C20054,Anu_0054,Madurai,9.9252,78.1198,SP127,Salesperson_27,Pending,mobile_app
S00056,27-01-2023 14:26,P1055,Men's_055,Men's Shirts,White,M,1,380.45,231.16,380.45,231.16,C20055,Ganesh_0055,Chennai,13.0827,80.2707,SP122,Salesperson_22,Pending,in-store
S00057,17-09-2024 20:41,P1056,Jeans_056,Jeans,Blue,M,2,333.85,291.97,667.7,583.94,C20056,Sanjay_0056,Erode,11.34,77.7172,SP139,Salesperson_39,Pending,in-store
S00058,15-10-2023 12:05,P1057,Jeans_057,Jeans,Green,S,1,1718.45,1175.39,1718.45,1175.39,C20057,Ganesh_0057,Erode,11.34,77.7172,SP101,Salesperson_1,Pending,online
S00059,12-09-2024 18:33,P1058,Sarees_058,Sarees,Pink,XXL,3,1879.09,1154.35,5637.27,3463.05,C20058,Bhuvana_0058,Tiruchirappalli,10.7905,78.7047,SP117,Salesperson_17,Pending,in-store
S00060,03-01-2024 11:07,P1059,Women's_059,Women's Dresses,Pink,XS,2,466.97,286.63,933.94,573.26,C20059,Bhuvana_0059,Vellore,12.9165,79.1325,SP114,Salesperson_14,Pending,online
S00061,27-01-2023 20:42,P1060,Sportswear_060,Sportswear,Yellow,M,2,239.47,198.52,478.94,397.04,C20060,Bhuvana_0060,Tiruchirappalli,10.7905,78.7047,SP114,Salesperson_14,Paid,online
S00062,08-06-2024 14:27,P1061,Jeans_061,Jeans,Pink,M,2,1116.56,876.23,2233.12,1752.46,C20061,Vishal_0061,Coimbatore,11.0168,76.9558,SP149,Salesperson_49,Returned,in-store
S00063,17-02-2024 10:22,P1062,Sarees_062,Sarees,Maroon,L,1,2346.9,1760.91,2346.9,1760.91,C20062,Lakshmi_0062,Tirunelveli,8.7139,77.7567,SP101,Salesperson_1,Paid,in-store
S00064,17-12-2023 18:36,P1063,T-Shirts_063,T-Shirts,Green,XL,4,2371.78,2040.11,9487.12,8160.44,C20063,Vishal_0063,Chennai,13.0827,80.2707,SP106,Salesperson_6,Cancelled,online
S00065,18-02-2024 19:40,P1064,Kurta_064,Kurta,Yellow,XXL,1,1679.56,1238.63,1679.56,1238.63,C20064,Sanjay_0064,Tirunelveli,8.7139,77.7567,SP127,Salesperson_27,Cancelled,mobile_app
S00066,21-12-2023 21:23,P1065,Women's_065,Women's Dresses,Pink,XL,1,1698.41,1124.36,1698.41,1124.36,C20065,Meena_0065,Salem,11.6643,78.146,SP102,Salesperson_2,Shipped,mobile_app
S00067,28-06-2023 12:22,P1066,Men's_066,Men's Shirts,Maroon,XL,2,417.22,335.82,834.44,671.64,C20066,Lakshmi_0066,Tiruchirappalli,10.7905,78.7047,SP123,Salesperson_23,Shipped,in-store
S00068,16-02-2023 13:50,P1067,Women's_067,Women's Dresses,Yellow,XL,1,983.44,666.98,983.44,666.98,C20067,Karthik_0067,Coimbatore,11.0168,76.9558,SP146,Salesperson_46,Returned,online
S00069,19-11-2023 18:20,P1068,T-Shirts_068,T-Shirts,Pink,M,1,2218.19,1820.07,2218.19,1820.07,C20068,Priya_0068,Salem,11.6643,78.146,SP135,Salesperson_35,Pending,in-store
S00070,06-06-2024 13:10,P1069,Jeans_069,Jeans,Pink,XXL,1,1507.6,1165.04,1507.6,1165.04,C20069,Priya_0069,Madurai,9.9252,78.1198,SP139,Salesperson_39,Cancelled,in-store
S00071,20-04-2024 11:15,P1070,T-Shirts_070,T-Shirts,Pink,XL,4,2340.74,2007.24,9362.96,8028.96,C20070,Bhuvana_0070,Chennai,13.0827,80.2707,SP119,Salesperson_19,Returned,online
S00072,06-10-2023 19:45,P1071,Jeans_071,Jeans,Pink,XL,1,1068.78,812.59,1068.78,812.59,C20071,Sathish_0071,Tirunelveli,8.7139,77.7567,SP129,Salesperson_29,Shipped,in-store
S00073,19-11-2023 14:17,P1072,Sportswear_072,Sportswear,Black,XL,1,1095.16,660.66,1095.16,660.66,C20072,Ravi_0072,Madurai,9.9252,78.1198,SP142,Salesperson_42,Paid,mobile_app
S00074,11-08-2024 11:19,P1073,T-Shirts_073,T-Shirts,Maroon,XXL,3,1756.57,1308.22,5269.71,3924.66,C20073,Lakshmi_0073,Tirunelveli,8.7139,77.7567,SP105,Salesperson_5,Pending,mobile_app
S00075,17-11-2023 10:05,P1074,T-Shirts_074,T-Shirts,Black,S,2,955.93,766.42,1911.86,1532.84,C20074,Kavin_0074,Chennai,13.0827,80.2707,SP102,Salesperson_2,Pending,in-store
S00076,04-05-2024 19:47,P1075,Sportswear_075,Sportswear,Blue,L,2,2341.14,2088.94,4682.28,4177.88,C20075,Priya_0075,Tiruchirappalli,10.7905,78.7047,SP145,Salesperson_45,Shipped,in-store
S00077,09-10-2024 10:44,P1076,Sportswear_076,Sportswear,Pink,S,2,1007.1,639.63,2014.2,1279.26,C20076,Kavin_0076,Chennai,13.0827,80.2707,SP148,Salesperson_48,Paid,mobile_app
S00078,03-04-2023 19:37,P1077,Kurta_077,Kurta,Black,S,2,2128.51,1549.19,4257.02,3098.38,C20077,Sanjay_0077,Vellore,12.9165,79.1325,SP103,Salesperson_3,Cancelled,in-store
S00079,25-05-2023 14:53,P1078,Jeans_078,Jeans,Blue,L,1,387.1,242.11,387.1,242.11,C20078,Kavin_0078,Vellore,12.9165,79.1325,SP142,Salesperson_42,Cancelled,in-store
S00080,03-10-2024 14:22,P1079,Sarees_079,Sarees,Grey,XL,2,744.38,649.33,1488.76,1298.66,C20079,Bhuvana_0079,Erode,11.34,77.7172,SP135,Salesperson_35,Shipped,in-store
S00081,20-01-2024 14:42,P1080,Kid's_080,Kid's Wear,Grey,L,1,1987.44,1525.4,1987.44,1525.4,C20080,Vishal_0080,Tiruchirappalli,10.7905,78.7047,SP140,Salesperson_40,Returned,in-store
S00082,03-10-2023 20:06,P1081,Sportswear_081,Sportswear,Black,M,1,783.47,565.32,783.47,565.32,C20081,Ravi_0081,Coimbatore,11.0168,76.9558,SP145,Salesperson_45,Returned,third-party
S00083,07-01-2024 18:46,P1082,Jeans_082,Jeans,White,M,4,1693.18,1394.86,6772.72,5579.44,C20082,Karthik_0082,Coimbatore,11.0168,76.9558,SP108,Salesperson_8,Pending,in-store
S00084,15-01-2024 21:22,P1083,Jeans_083,Jeans,Pink,XXL,1,390.65,296.31,390.65,296.31,C20083,Kavin_0083,Tiruchirappalli,10.7905,78.7047,SP104,Salesperson_4,Shipped,in-store
S00085,11-10-2023 19:58,P1084,Kurta_084,Kurta,Yellow,XL,2,299.27,259.57,598.54,519.14,C20084,Ravi_0084,Erode,11.34,77.7172,SP103,Salesperson_3,Pending,mobile_app
S00086,10-12-2023 21:04,P1085,Kurta_085,Kurta,Pink,XL,1,1799.45,1120.39,1799.45,1120.39,C20085,Devi_0085,Chennai,13.0827,80.2707,SP148,Salesperson_48,Cancelled,online
S00087,19-04-2023 12:17,P1086,Kurta_086,Kurta,Grey,XS,1,1643.38,1274.1,1643.38,1274.1,C20086,Karthik_0086,Salem,11.6643,78.146,SP148,Salesperson_48,Shipped,online
S00088,08-08-2024 10:16,P1087,Kurta_087,Kurta,Maroon,XXL,3,1248.01,980.99,3744.03,2942.97,C20087,Devi_0087,Tiruchirappalli,10.7905,78.7047,SP131,Salesperson_31,Pending,in-store
S00089,30-06-2023 12:27,P1088,T-Shirts_088,T-Shirts,Pink,L,1,727.61,494.62,727.61,494.62,C20088,Aarav_0088,Erode,11.34,77.7172,SP121,Salesperson_21,Shipped,in-store
S00090,23-08-2023 13:27,P1089,Kid's_089,Kid's Wear,Grey,S,4,1433.02,992.88,5732.08,3971.52,C20089,Sathish_0089,Chennai,13.0827,80.2707,SP125,Salesperson_25,Cancelled,third-party
S00091,12-06-2024 18:09,P1090,Men's_090,Men's Shirts,Blue,XXL,3,375.26,331.04,1125.78,993.12,C20090,Priya_0090,Madurai,9.9252,78.1198,SP129,Salesperson_29,Pending,in-store
S00092,28-09-2023 16:55,P1091,Men's_091,Men's Shirts,White,L,1,2345.28,2016.52,2345.28,2016.52,C20091,Karthik_0091,Tiruchirappalli,10.7905,78.7047,SP129,Salesperson_29,Returned,mobile_app
S00093,30-01-2023 10:22,P1092,Sarees_092,Sarees,Pink,M,1,1304.85,1168.61,1304.85,1168.61,C20092,Sanjay_0092,Erode,11.34,77.7172,SP116,Salesperson_16,Paid,mobile_app
S00094,02-09-2023 18:23,P1093,Sportswear_093,Sportswear,Red,XXL,1,2136.87,1819.54,2136.87,1819.54,C20093,Anu_0093,Chennai,13.0827,80.2707,SP122,Salesperson_22,Pending,in-store
S00095,01-11-2023 14:16,P1094,Women's_094,Women's Dresses,Red,XS,4,2188.86,1847.11,8755.44,7388.44,C20094,Meena_0094,Tiruchirappalli,10.7905,78.7047,SP101,Salesperson_1,Cancelled,mobile_app
S00096,11-10-2024 21:33,P1095,Kid's_095,Kid's Wear,Black,S,2,1870.08,1546.79,3740.16,3093.58,C20095,Ravi_0095,Coimbatore,11.0168,76.9558,SP136,Salesperson_36,Pending,in-store
S00097,03-09-2023 12:12,P1096,Sportswear_096,Sportswear,White,M,1,2394.32,1872,2394.32,1872,C20096,Kavin_0096,Coimbatore,11.0168,76.9558,SP149,Salesperson_49,Pending,mobile_app
S00098,29-05-2023 18:37,P1097,T-Shirts_097,T-Shirts,Blue,XL,2,817.95,496.21,1635.9,992.42,C20097,Aarav_0097,Salem,11.6643,78.146,SP136,Salesperson_36,Shipped,online
S00099,20-11-2023 15:49,P1098,Kurta_098,Kurta,Black,XS,1,2160.02,1653.65,2160.02,1653.65,C20098,Sathish_0098,Tiruchirappalli,10.7905,78.7047,SP106,Salesperson_6,Returned,in-store
S00100,31-12-2023 20:24,P1099,Women's_099,Women's Dresses,Red,M,4,266.2,220.03,1064.8,880.12,C20099,Anu_0099,Erode,11.34,77.7172,SP142,Salesperson_42,Returned,online
S00101,08-02-2024 18:12,P1100,Women's_100,Women's Dresses,Maroon,XXL,3,1619.71,1448.25,4859.13,4344.75,C20100,Karthik_0100,Chennai,13.0827,80.2707,SP126,Salesperson_26,Shipped,mobile_app
S00102,31-01-2024 17:33,P1101,Women's_101,Women's Dresses,Pink,M,1,2279.56,1605.9,2279.56,1605.9,C20101,Lakshmi_0101,Vellore,12.9165,79.1325,SP145,Salesperson_45,Pending,online
S00103,01-12-2023 19:23,P1102,Kurta_102,Kurta,Green,XXL,4,1404.29,1136.48,5617.16,4545.92,C20102,Anu_0102,Salem,11.6643,78.146,SP139,Salesperson_39,Cancelled,online
S00104,01-06-2024 15:50,P1103,Sportswear_103,Sportswear,Grey,L,1,793.96,585.74,793.96,585.74,C20103,Bhuvana_0103,Salem,11.6643,78.146,SP120,Salesperson_20,Pending,online
S00105,29-09-2024 15:19,P1104,Women's_104,Women's Dresses,White,L,1,1533.19,1077.02,1533.19,1077.02,C20104,Meena_0104,Vellore,12.9165,79.1325,SP136,Salesperson_36,Cancelled,online
S00106,16-12-2023 15:35,P1105,Kurta_105,Kurta,Yellow,XS,1,519.3,411.42,519.3,411.42,C20105,Ravi_0105,Tirunelveli,8.7139,77.7567,SP111,Salesperson_11,Shipped,in-store
S00107,29-04-2023 14:53,P1106,Jeans_106,Jeans,Yellow,M,1,1385.04,1235.36,1385.04,1235.36,C20106,Karthik_0106,Salem,11.6643,78.146,SP138,Salesperson_38,Returned,online
S00108,27-01-2024 12:49,P1107,Men's_107,Men's Shirts,Maroon,S,1,840.76,549.1,840.76,549.1,C20107,Diya_0107,Tiruchirappalli,10.7905,78.7047,SP146,Salesperson_46,Shipped,online
S00109,27-02-2023 11:27,P1108,Sportswear_108,Sportswear,Maroon,S,1,2256.7,1441.18,2256.7,1441.18,C20108,Devi_0108,Vellore,12.9165,79.1325,SP141,Salesperson_41,Shipped,in-store
S00110,03-08-2023 13:05,P1109,Sportswear_109,Sportswear,Red,XS,4,1644.17,1026.83,6576.68,4107.32,C20109,Vishal_0109,Tiruchirappalli,10.7905,78.7047,SP125,Salesperson_25,Pending,in-store
S00111,21-07-2024 21:03,P1110,T-Shirts_110,T-Shirts,Yellow,L,1,2197.09,1373.96,2197.09,1373.96,C20110,Anu_0110,Tirunelveli,8.7139,77.7567,SP127,Salesperson_27,Cancelled,mobile_app
S00112,24-01-2024 21:32,P1111,Sarees_111,Sarees,Yellow,XXL,3,743.07,615.25,2229.21,1845.75,C20111,Ravi_0111,Salem,11.6643,78.146,SP119,Salesperson_19,Returned,in-store
S00113,12-12-2023 18:03,P1112,Jeans_112,Jeans,Blue,XXL,1,780.6,635.41,780.6,635.41,C20112,Meena_0112,Tirunelveli,8.7139,77.7567,SP107,Salesperson_7,Cancelled,in-store
S00114,04-08-2024 16:31,P1113,Kid's_113,Kid's Wear,Black,S,2,2194.59,1549.92,4389.18,3099.84,C20113,Devi_0113,Vellore,12.9165,79.1325,SP117,Salesperson_17,Cancelled,in-store
S00115,16-09-2023 11:44,P1114,T-Shirts_114,T-Shirts,Blue,S,2,246.16,171.48,492.32,342.96,C20114,Vishal_0114,Tiruchirappalli,10.7905,78.7047,SP123,Salesperson_23,Pending,in-store
S00116,18-05-2023 13:07,P1115,T-Shirts_115,T-Shirts,Red,XXL,1,988.73,733.83,988.73,733.83,C20115,Anu_0115,Madurai,9.9252,78.1198,SP117,Salesperson_17,Paid,in-store
S00117,19-08-2023 17:28,P1116,Men's_116,Men's Shirts,Maroon,M,2,1435.35,1113.91,2870.7,2227.82,C20116,Devi_0116,Madurai,9.9252,78.1198,SP140,Salesperson_40,Shipped,in-store
S00118,29-04-2024 15:07,P1117,Women's_117,Women's Dresses,Red,XL,1,976.13,849.13,976.13,849.13,C20117,Vishal_0117,Vellore,12.9165,79.1325,SP130,Salesperson_30,Shipped,mobile_app
S00119,30-01-2024 12:29,P1118,Sarees_118,Sarees,Green,XS,3,1593.28,1069.36,4779.84,3208.08,C20118,Vishal_0118,Vellore,12.9165,79.1325,SP107,Salesperson_7,Paid,in-store
S00120,08-03-2023 11:14,P1119,Kurta_119,Kurta,Grey,XS,2,2156.88,1351,4313.76,2702,C20119,Sathish_0119,Chennai,13.0827,80.2707,SP109,Salesperson_9,Pending,third-party
S00121,07-06-2024 10:50,P1120,T-Shirts_120,T-Shirts,Blue,S,1,1406.38,1016.98,1406.38,1016.98,C20120,Diya_0120,Erode,11.34,77.7172,SP138,Salesperson_38,Cancelled,in-store
S00122,30-09-2024 11:23,P1121,Jeans_121,Jeans,Maroon,L,2,2310.01,1389.68,4620.02,2779.36,C20121,Ravi_0121,Vellore,12.9165,79.1325,SP119,Salesperson_19,Cancelled,online
S00123,25-09-2024 15:43,P1122,Kurta_122,Kurta,White,XL,3,2337.56,1792.98,7012.68,5378.94,C20122,Sathish_0122,Chennai,13.0827,80.2707,SP139,Salesperson_39,Paid,online
S00124,07-01-2024 13:46,P1123,Jeans_123,Jeans,Black,M,3,2426.39,1973.35,7279.17,5920.05,C20123,Lakshmi_0123,Coimbatore,11.0168,76.9558,SP110,Salesperson_10,Pending,online
S00125,10-05-2023 18:31,P1124,Kid's_124,Kid's Wear,Maroon,XS,1,1604.43,1101.58,1604.43,1101.58,C20124,Kavin_0124,Chennai,13.0827,80.2707,SP126,Salesperson_26,Shipped,in-store
S00126,13-01-2024 11:28,P1125,Sportswear_125,Sportswear,White,XS,1,1565.93,1113.01,1565.93,1113.01,C20125,Meena_0125,Salem,11.6643,78.146,SP145,Salesperson_45,Returned,online
S00127,23-10-2023 16:32,P1126,Sportswear_126,Sportswear,Blue,XXL,1,941.41,793.57,941.41,793.57,C20126,Meena_0126,Salem,11.6643,78.146,SP140,Salesperson_40,Cancelled,in-store
